|-------|-------|--------|--------------------|
| 512   | 4     | 1      | 2.356194490192345  |
|-------|-------|--------|--------------------|
| 512   | 4     | 1      | 2.6179938779914944 |
|-------|-------|--------|--------------------|
| 512   | 4     | 1      | 3.141592653589793  |
|-------|-------|--------|--------------------|
| 512   | 16    | 1      | 0.0                |
|-------|-------|--------|--------------------|
| 512   | 16    | 1      | 0.5235987755982988 |
|-------|-------|--------|--------------------|
| 512   | 16    | 1      | 0.5235987755982988 |
|-------|-------|--------|--------------------|
| 512   | 16    | 1      | 0.7853981633974483 |
|-------|-------|--------|--------------------|
| 512   | 16    | 1      | 1.5707963267948966 |
|-------|-------|--------|--------------------|
| 512   | 16    | 1      | 2.0943951023931953 |
|-------|-------|--------|--------------------|
| 512   | 16    | 1      | 2.356194490192345  |
|-------|-------|--------|--------------------|
| 512   | 16    | 1      | 2.6179938779914944 |
|-------|-------|--------|--------------------|
| 512   | 16    | 1      | 3.141592653589793  |
|-------|-------|--------|--------------------|
| 512   | 32    | 1      | 0.0                |
|-------|-------|--------|--------------------|
| 512   | 32    | 1      | 0.5235987755982988 |
|-------|-------|--------|--------------------|
| 512   | 32    | 1      | 0.5235987755982988 |
|-------|-------|--------|--------------------|
| 512   | 32    | 1      | 0.7853981633974483 |
|-------|-------|--------|--------------------|
| 512   | 32    | 1      | 1.5707963267948966 |
|-------|-------|--------|--------------------|
| 512   | 32    | 1      | 2.0943951023931953 |
|-------|-------|--------|--------------------|
| 512   | 32    | 1      | 2.356194490192345  |
|-------|-------|--------|--------------------|
| 512   | 32    | 1      | 2.6179938779914944 |
|-------|-------|--------|--------------------|
| 512   | 32    | 1      | 3.141592653589793  |
|-------|-------|--------|--------------------|
| 512   | 64    | 1      | 0.0                |
|-------|-------|--------|--------------------|
| 512   | 64    | 1      | 0.5235987755982988 |
|-------|-------|--------|--------------------|
| 512   | 64    | 1      | 0.5235987755982988 |
|-------|-------|--------|--------------------|
| 512   | 64    | 1      | 0.7853981633974483 |
|-------|-------|--------|--------------------|
| 512   | 64    | 1      | 1.5707963267948966 |
|-------|-------|--------|--------------------|
| 512   | 64    | 1      | 2.0943951023931953 |
|-------|-------|--------|--------------------|
| 512   | 64    | 1      | 2.356194490192345  |
|-------|-------|--------|--------------------|
| 512   | 64    | 1      | 2.6179938779914944 |
|-------|-------|--------|--------------------|
| 512   | 64    | 1      | 3.141592653589793  |
|-------|-------|--------|--------------------|
| 512   | 4     | 2      | 0.0                |
|-------|-------|--------|--------------------|
| 512   | 4     | 2      | 0.5235987755982988 |
|-------|-------|--------|--------------------|
| 512   | 4     | 2      | 0.5235987755982988 |
|-------|-------|--------|--------------------|
| 512   | 4     | 2      | 0.7853981633974483 |
|-------|-------|--------|--------------------|
| 512   | 4     | 2      | 1.5707963267948966 |
|-------|-------|--------|--------------------|
| 512   | 4     | 2      | 2.0943951023931953 |
|-------|-------|--------|--------------------|
| 512   | 4     | 2      | 2.356194490192345  |
|-------|-------|--------|--------------------|
| 512   | 4     | 2      | 2.6179938779914944 |
|-------|-------|--------|--------------------|
| 512   | 4     | 2      | 3.141592653589793  |
|-------|-------|--------|--------------------|
| 512   | 16    | 2      | 0.0                |
|-------|-------|--------|--------------------|
| 512   | 16    | 2      | 0.5235987755982988 |
|-------|-------|--------|--------------------|
| 512   | 16    | 2      | 0.5235987755982988 |
|-------|-------|--------|--------------------|
| 512   | 16    | 2      | 0.7853981633974483 |
|-------|-------|--------|--------------------|
| 512   | 16    | 2      | 1.5707963267948966 |
|-------|-------|--------|--------------------|
| 512   | 16    | 2      | 2.0943951023931953 |
|-------|-------|--------|--------------------|
| 512   | 16    | 2      | 2.356194490192345  |
|-------|-------|--------|--------------------|
| 512   | 16    | 2      | 2.6179938779914944 |
|-------|-------|--------|--------------------|
| 512   | 16    | 2      | 3.141592653589793  |
|-------|-------|--------|--------------------|
| 512   | 32    | 2      | 0.0                |
|-------|-------|--------|--------------------|
| 512   | 32    | 2      | 0.5235987755982988 |
|-------|-------|--------|--------------------|
| 512   | 32    | 2      | 0.5235987755982988 |
|-------|-------|--------|--------------------|
| 512   | 32    | 2      | 0.7853981633974483 |
|-------|-------|--------|--------------------|
| 512   | 32    | 2      | 1.5707963267948966 |
|-------|-------|--------|--------------------|
| 512   | 32    | 2      | 2.0943951023931953 |
|-------|-------|--------|--------------------|
| 512   | 32    | 2      | 2.356194490192345  |
